wl;motor_pos
834.2084446;10.3981 
833.934466;10.4113 
833.6433939;10.4244 
833.3833708;10.4376 
833.1425828;10.4508 
832.8519283;10.4640 
832.5552585;10.4772 
832.3146792;10.4904 
832.0102346;10.5035 
831.7279668;10.5167 
831.4370398;10.5299 
831.1416883;10.5431 
830.8480668;10.5563 
830.5402904;10.5695 
830.2513502;10.5826 
830.0085982;10.5958 
829.7043554;10.6090 
829.4197321;10.6222 
829.1749269;10.6354 
828.8783302;10.6486 
828.5936842;10.6617 
828.3570609;10.6749 
828.0464994;10.6881 
827.7607279;10.7013 
827.4640056;10.7145 
827.2101004;10.7276 
826.9216206;10.7408 
826.5872499;10.7540 
826.3347685;10.7672 
826.0361995;10.7804 
825.7447562;10.7936 
825.5123727;10.8067 
825.2253089;10.8199 
824.9365882;10.8331 
824.6906233;10.8463 
824.4184856;10.8595 
824.1345019;10.8727 
823.8789271;10.8858 
823.5911796;10.8990 
823.2968476;10.9122 
823.0039508;10.9254 
822.7022994;10.9386 
822.438825;10.9518 
822.1593193;10.9649 
821.8648427;10.9781 
821.6415427;10.9913 
821.3339838;11.0045 
821.0800107;11.0177 
820.8211119;11.0308 
820.5566636;11.0440 
820.26797;11.0572 
820.0147455;11.0704 
819.7446949;11.0836 
819.474082;11.0968 
819.1817391;11.1099 
818.8949402;11.1231 
818.6170528;11.1363 
818.3443437;11.1495 
818.0298461;11.1627 
817.7870325;11.1759 
817.5232004;11.1890 
817.2381162;11.2022 
816.9731468;11.2154 
816.7402384;11.2286 
816.4623444;11.2418 
816.1798222;11.2550 
815.9323848;11.2681 
815.6231708;11.2813 
815.3776353;11.2945 
815.0805143;11.3077 
814.7939087;11.3209 
814.5229889;11.3340 
814.2306191;11.3472 
813.9742757;11.3604 
813.7082692;11.3736 
813.4300707;11.3868 
813.1968563;11.4000 
812.8989469;11.4131 
812.6304886;11.4263 
812.3918919;11.4395 
812.0794479;11.4527 
811.8419257;11.4659 
811.5791658;11.4791 
811.2927802;11.4922 
810.9870505;11.5054 
810.7089083;11.5186 
810.4209823;11.5318 
810.1459888;11.5450 
809.8677914;11.5582 
809.6314698;11.5713 
809.3542807;11.5845 
809.0664543;11.5977 
808.8339356;11.6109 
808.518948;11.6241 
808.2801973;11.6372 
808.0087773;11.6504 
807.7321495;11.6636 
807.4541339;11.6768 
807.1709463;11.6900 
806.883292;11.7032 
806.5739656;11.7163 
806.3221991;11.7295 
806.0518443;11.7427 
805.7732465;11.7559 
805.509285;11.7691 
805.2698001;11.7823 
804.9827354;11.7954 
804.7328353;11.8086 
804.4325574;11.8218 
804.1978218;11.8350 
803.9410198;11.8482 
803.6570409;11.8614 
803.3835147;11.8745 
803.0918209;11.8877 
802.816965;11.9009 
802.5323451;11.9141 
802.2605928;11.9273 
802.0111732;11.9404 
801.7409254;11.9536 
801.4745535;11.9668 
